concept_name,set_id,locked_spl_version,locked_published_date,locked_title,zip_path,xml_path,zip_sha256,xml_sha256,xml_member_name,dailymed_label_last_updated,downloaded_at_utc
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,2026-04-30,"ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\ee50c5ee-1a61-4efc-aca9-42d897d6a3b8\v8\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\ee50c5ee-1a61-4efc-aca9-42d897d6a3b8\v8\label.xml,2c1ba95723fade3d4f664503a024c960cb529e746d80e0be2db05984f63cf148,0f94e2befc35a012842063fb3ffe8ae023bd0ea5d3a912f326831a31a680b89c,205070fd-257a-4444-8f0b-6b0226519ad2.xml,,2026-05-10T20:36:05.667482+00:00
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,2026-04-30,"IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\9ce036ef-a22d-4fca-9a62-1b10978f7b26\v9\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\9ce036ef-a22d-4fca-9a62-1b10978f7b26\v9\label.xml,cc1bf52ecb916869c64303b1f1332102970a7f1129656d76db95dd7b60a502e6,42e1adbc0041c93ffe8bf792ca798499deebad08ab88b2d829a7edeb568bd172,8050d9d9-0b0b-4136-be37-a824114f7ea0.xml,,2026-05-10T20:36:05.770908+00:00
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,2026-04-30,"METFORMIN HYDROCHLORIDE TABLET, FILM COATED [MYLAN PHARMACEUTICALS INC.]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4f70f907-08d5-4c2e-a4be-32c6124faa7b\v15\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4f70f907-08d5-4c2e-a4be-32c6124faa7b\v15\label.xml,dc836cb87dbd9ad447884a5cae3ca4b407033b643fbe3654902d7dd4733a960b,b5c3a59249ac8b72fe19aa4d4dd1e290544446cb81050454945cf1bc6c1bb183,bd9cf158-94b6-42b0-b2d6-7d185b6ac310.xml,,2026-05-10T20:36:05.850010+00:00
lisinopril,7d6c31e2-b5a4-4279-8013-a8dad37ea73b,23,2025-11-17,"LISINOPRIL TABLET [LUPIN PHARMACEUTICALS, INC.]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\7d6c31e2-b5a4-4279-8013-a8dad37ea73b\v23\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\7d6c31e2-b5a4-4279-8013-a8dad37ea73b\v23\label.xml,088c566309f1e387ea37cfd4845f745e26d1a9b034c835582b597110db1e4a4e,10fab7f3412212c6e1ca2f43af50233b449f9b60201461ec52d754cc10f5213c,6723a96d-02f8-40c2-95ec-89a7053a7117.xml,,2026-05-10T20:36:06.041834+00:00
atorvastatin,536b5e0d-1bb9-4c9d-a588-460d7647308b,3,2026-02-05,"ATORVASTATIN CALCIUM TABLET, FILM COATED [AUROBINDO PHARMA LIMITED]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\536b5e0d-1bb9-4c9d-a588-460d7647308b\v3\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\536b5e0d-1bb9-4c9d-a588-460d7647308b\v3\label.xml,e5b2313b1d6c64255b45dc7de66d0a9fa8d91e47b80ba10bdb8356cb19b1e5aa,84df174ae80f35d13111ad7af3328a996e935622fe48779087fc319876ba00b2,b9128b7d-1e45-4f05-9f0a-26bd825e402d.xml,,2026-05-10T20:36:06.150444+00:00
amoxicillin,4fb7837e-964c-4d38-a3a5-b384b1bd6e08,21,2026-03-11,AMOXICILLIN CAPSULE [HIKMA PHARMACEUTICALS USA INC.],C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4fb7837e-964c-4d38-a3a5-b384b1bd6e08\v21\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\4fb7837e-964c-4d38-a3a5-b384b1bd6e08\v21\label.xml,3154f219342c4dd6248e35f41e9cc0bada1d85766a2fa0672e3cffa650f8f4fb,f01dbf492f6c7d44d76f66fcd940e22ba7c783af65bfcfa92a6b1ae8e9d44e23,ede2b8f8-5f17-494b-8dd9-a3368f76aebf.xml,,2026-05-10T20:36:06.206513+00:00
sertraline,98960cc1-1d44-4d89-b415-7e250cc762cc,4,2026-04-09,"SERTRALINE HYDROCHLORIDE TABLET, FILM COATED [GRANULES PHARMACEUTICALS INC.]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\98960cc1-1d44-4d89-b415-7e250cc762cc\v4\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\98960cc1-1d44-4d89-b415-7e250cc762cc\v4\label.xml,c96a5e116379086facda0812a7fb0c8f997d71873eb9acfaaa945058aa824c18,29ace7894661b5d727e3a0d89c2aadea751bfa0599204103f23cd190dc920cb1,4ec654e4-0bd5-934d-e063-6294a90a218d.xml,,2026-05-10T20:36:06.303193+00:00
albuterol,fd0389e0-3713-42e0-8ef2-3bb97676fded,2,2026-04-27,"ALBUTEROL (ALBUTEROL SULFATE) AEROSOL, METERED [CIPLA USA INC.]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\fd0389e0-3713-42e0-8ef2-3bb97676fded\v2\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\fd0389e0-3713-42e0-8ef2-3bb97676fded\v2\label.xml,6ce95a0004ee99c7acc672f38361119db893eabd4dcc3ab4e9b85df613bc737c,d1f01f5aa3db942f5c343049d3cf57a84ad6d2328f3283dfdd5dc8be49d33e3c,7d4c1e96-c05f-4ffc-80b6-988986a061bc.xml,,2026-05-10T20:36:06.404478+00:00
omeprazole,516170d4-4913-4577-a2d2-f5c52d1e79c6,9,2026-03-23,"OMEPRAZOLE CAPSULE, DELAYED RELEASE [SANDOZ INC]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\516170d4-4913-4577-a2d2-f5c52d1e79c6\v9\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\516170d4-4913-4577-a2d2-f5c52d1e79c6\v9\label.xml,133d8d0d9b0db993a0e02c8265fd2ea2d33bd01cd79ce3182630e8343bf66105,323d403725e14e8f090f29bc44ea4ee1d1839e5fd8acafd7605d23276a04b534,b182f298-e28f-434b-b6f1-ecfac29d495e.xml,,2026-05-10T20:36:06.492198+00:00
apixaban,19a60552-374d-4b8b-a8ce-ceae252ea5ba,16,2025-02-24,"APIXABAN TABLET, FILM COATED [AMNEAL PHARMACEUTICALS OF NEW YORK LLC]",C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\19a60552-374d-4b8b-a8ce-ceae252ea5ba\v16\label.zip,C:\Users\suraj\Hariharan\MedLabelIQ\data\raw\spl\19a60552-374d-4b8b-a8ce-ceae252ea5ba\v16\label.xml,a6698e9f4ed700a85041e7377491ba533d1dcb4271b937f69292669cf73f6e4c,f53d0e46d9844e66506e2b598031bbb1c9c19babb30a8dde5373c6c8224881b4,ac3db938-22a3-42a0-ac3a-8628d9e0a7cf.xml,,2026-05-10T20:36:06.618917+00:00
