concept_name,set_id,locked_spl_version,history_spl_version,published_date,title,is_locked_version
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,8,"Apr 30, 2026","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",True
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,7,"Oct 03, 2025","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,6,"May 27, 2024","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,5,"Jan 09, 2024","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,4,"Nov 17, 2023","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,3,"Jan 19, 2023","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,2,"Jan 21, 2022","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,1,"Jun 05, 2019","ACETAMINOPHEN TABLET [CARDINAL HEALTH 107, LLC]",False
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,9,"Apr 30, 2026","IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",True
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,8,"Mar 23, 2021","IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",False
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,7,"Dec 20, 2019","IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",False
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,5,"May 23, 2017","IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",False
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,4,"Aug 04, 2016","IBUPROFEN TABLET, FILM COATED [ASCEND LABORATORIES, LLC]",False
