concept_name,section_uid,depth,loinc_code,code_display_name,raw_title,normalized_title,canonical_section_name,nearest_canonical_section_name,heading_path,direct_char_count,child_count
acetaminophen,0bfce42a-8b69-455a-9d9f-e61017bf690d,0,48780-1,SPL product data elements section,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL product data elements section,0,0
acetaminophen,48b05cb8-c496-42d7-8c1e-7ad0dfa40fe3,0,42229-5,SPL UNCLASSIFIED SECTION,,<NO_TITLE>,<NO_CANONICAL>,,SPL UNCLASSIFIED SECTION,552,0
acetaminophen,8bf9c150-1a71-40c8-bc60-11e7668c3170,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,Principal Display Panel,PRINCIPAL DISPLAY PANEL,principal_display_panel,principal_display_panel,Principal Display Panel,100,0
ibuprofen,f62cae4b-55a7-4296-a90b-be29817686f4,0,48780-1,SPL PRODUCT DATA ELEMENTS SECTION,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL PRODUCT DATA ELEMENTS SECTION,0,0
ibuprofen,7d985cc0-4082-4afb-83b0-2915554e7204,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,50,0
metformin,4cdeaf8d-903d-4e32-9d30-1c424f2c5083,0,48780-1,SPL product data elements section,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL product data elements section,0,0
metformin,14ada61d-2180-463b-806c-71ab87644d72,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PRINCIPAL DISPLAY PANEL – 500 mg,PRINCIPAL DISPLAY PANEL – 500 MG,principal_display_panel,principal_display_panel,PRINCIPAL DISPLAY PANEL – 500 mg,683,0
metformin,c7d6034a-09ec-49fb-ad27-aa03d7ddbad9,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PRINCIPAL DISPLAY PANEL – 850 mg,PRINCIPAL DISPLAY PANEL – 850 MG,principal_display_panel,principal_display_panel,PRINCIPAL DISPLAY PANEL – 850 mg,683,0
metformin,08ce8ae4-4f55-494c-a4e9-e8b19a2f467f,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PRINCIPAL DISPLAY PANEL – 1000 mg,PRINCIPAL DISPLAY PANEL – 1000 MG,principal_display_panel,principal_display_panel,PRINCIPAL DISPLAY PANEL – 1000 mg,685,0
lisinopril,8741bd0d-496d-4f67-b021-f9f985e9ee01,0,48780-1,SPL Product Data Elements Section,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL Product Data Elements Section,0,0
lisinopril,5996d8ee-180f-4462-b817-a4f6ddb70b39,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,,<NO_TITLE>,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,795,0
atorvastatin,d0379ae7-fd5a-4218-8bb6-60e5a1c28a80,0,48780-1,SPL PRODUCT DATA ELEMENTS SECTION,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL PRODUCT DATA ELEMENTS SECTION,0,0
atorvastatin,fd24fc58-ccbb-4473-8cdc-1140f52c2aea,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 10 mg (90 Tablets Bottle),PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 10 MG (90 TABLETS BOTTLE),principal_display_panel,principal_display_panel,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 10 mg (90 Tablets Bottle),86,0
