concept_name,set_id,locked_spl_version,section_index,depth,code,display_name,title,text_node_count,direct_subsection_count,char_count_direct_text
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,1,0,48780-1,SPL product data elements section,,0,0,0
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,2,0,55106-9,OTC - ACTIVE INGREDIENT SECTION,Drug Facts,1,0,55
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,3,0,55105-1,OTC - PURPOSE SECTION,,1,0,36
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,4,0,34067-9,INDICATIONS & USAGE SECTION,Uses,1,0,211
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,5,0,34071-1,WARNINGS SECTION,,1,7,675
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,6,1,50570-1,OTC - DO NOT USE SECTION,Do not use ,1,0,258
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,7,1,50569-3,OTC - ASK DOCTOR SECTION,,1,0,49
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,8,1,50568-5,OTC - ASK DOCTOR/PHARMACIST SECTION,,1,0,88
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,9,1,50566-9,OTC - STOP USE SECTION,,1,0,298
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,10,1,53414-9,OTC - PREGNANCY OR BREAST FEEDING SECTION,,1,0,68
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,11,1,50565-1,OTC - KEEP OUT OF REACH OF CHILDREN SECTION,,1,0,30
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,12,1,34088-5,OVERDOSAGE SECTION,Overdose warning,1,0,310
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,13,0,34068-7,DOSAGE & ADMINISTRATION SECTION,Directions,1,0,530
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,14,0,60561-8,OTHER SAFETY INFORMATION,Other information,1,0,48
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,15,0,51727-6,INACTIVE INGREDIENT SECTION,,1,0,71
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,16,0,53413-1,OTC - QUESTIONS SECTION,Questions or comments?,1,0,14
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,17,0,42229-5,SPL UNCLASSIFIED SECTION,,1,0,552
acetaminophen,ee50c5ee-1a61-4efc-aca9-42d897d6a3b8,8,18,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,Principal Display Panel,1,0,100
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,1,0,48780-1,SPL PRODUCT DATA ELEMENTS SECTION,,0,0,0
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,2,0,34066-1,BOXED WARNING SECTION,,1,0,822
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,3,0,34089-3,DESCRIPTION SECTION,DESCRIPTION,1,0,739
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,4,0,34090-1,CLINICAL PHARMACOLOGY SECTION,CLINICAL PHARMACOLOGY,1,0,5904
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,5,0,34067-9,INDICATIONS & USAGE SECTION,INDICATIONS AND USAGE,1,0,647
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,6,0,34070-3,CONTRAINDICATIONS SECTION,CONTRAINDICATIONS,1,0,536
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,7,0,34071-1,WARNINGS SECTION,WARNINGS,1,0,11673
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,8,0,42232-9,PRECAUTIONS SECTION,PRECAUTIONS,0,9,0
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,9,1,34072-9,GENERAL PRECAUTIONS SECTION,General,1,0,4177
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,10,1,34076-0,INFORMATION FOR PATIENTS SECTION,Information for Patients,1,0,3171
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,11,1,34075-2,LABORATORY TESTS SECTION,Laboratory Tests,1,0,486
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,12,1,34073-7,DRUG INTERACTIONS SECTION,Drug Interactions,1,0,3742
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,13,1,42228-7,PREGNANCY SECTION,Pregnancy,1,0,4809
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,14,1,34079-4,LABOR & DELIVERY SECTION,Labor and Delivery,1,0,269
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,15,1,34080-2,NURSING MOTHERS SECTION,Nursing Mothers,1,0,352
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,16,1,34081-0,PEDIATRIC USE SECTION,Pediatric Use,1,0,94
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,17,1,34082-8,GERIATRIC USE SECTION,Geriatric Use,1,0,93
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,18,0,34084-4,ADVERSE REACTIONS SECTION,ADVERSE REACTIONS,1,0,4669
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,19,0,34088-5,OVERDOSAGE SECTION,OVERDOSAGE,1,0,2030
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,20,0,34068-7,DOSAGE & ADMINISTRATION SECTION,DOSAGE AND ADMINISTRATION,1,0,2491
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,21,0,34069-5,HOW SUPPLIED SECTION,HOW SUPPLIED,1,0,1203
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,22,0,42231-1,SPL MEDGUIDE SECTION,Medication Guide,1,0,5662
ibuprofen,9ce036ef-a22d-4fca-9a62-1b10978f7b26,9,23,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,1,0,50
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,1,0,48780-1,SPL product data elements section,,0,0,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,2,0,43683-2,RECENT MAJOR CHANGES SECTION,,0,0,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,3,0,34066-1,Boxed Warning section,WARNING: LACTIC ACIDOSIS,1,0,1532
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,4,0,34067-9,INDICATIONS & USAGE SECTION,1 INDICATIONS AND USAGE,1,0,198
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,5,0,34068-7,DOSAGE & ADMINISTRATION SECTION,2 DOSAGE AND ADMINISTRATION,0,4,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,6,1,42229-5,SPL UNCLASSIFIED SECTION,2.1 Adult Dosage,1,0,436
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,7,1,42229-5,SPL UNCLASSIFIED SECTION,2.2 Pediatric Dosage for Metformin Hydrochloride Tablets,1,0,335
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,8,1,42229-5,SPL UNCLASSIFIED SECTION,2.3 Recommendations for Use in Renal Impairment,1,0,679
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,9,1,42229-5,SPL UNCLASSIFIED SECTION,2.4 Discontinuation for Iodinated Contrast Imaging Procedures,1,0,447
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,10,0,43678-2,DOSAGE FORMS & STRENGTHS SECTION,3 DOSAGE FORMS AND STRENGTHS,1,0,784
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,11,0,34070-3,CONTRAINDICATIONS SECTION,4 CONTRAINDICATIONS,1,0,295
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,12,0,43685-7,WARNINGS AND PRECAUTIONS SECTION,5 WARNINGS AND PRECAUTIONS,0,4,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,13,1,42229-5,SPL UNCLASSIFIED SECTION,5.1 Lactic Acidosis,1,0,6293
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,14,1,42229-5,SPL UNCLASSIFIED SECTION,5.2 Vitamin B 12 Deficiency,1,0,816
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,15,1,42229-5,SPL UNCLASSIFIED SECTION,5.3 Hypoglycemia with Concomitant Use with Insulin and Insulin Secretagogues,1,0,422
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,16,1,42229-5,SPL UNCLASSIFIED SECTION,5.4 Macrovascular Outcomes,1,0,138
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,17,0,34084-4,ADVERSE REACTIONS SECTION,6 ADVERSE REACTIONS,1,2,271
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,18,1,42229-5,SPL UNCLASSIFIED SECTION,6.1 Clinical Studies Experience,1,1,263
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,19,2,42229-5,SPL UNCLASSIFIED SECTION,Metformin Hydrochloride Tablets,1,1,1407
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,20,3,42229-5,SPL UNCLASSIFIED SECTION,Pediatric Patients,1,0,181
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,21,1,42229-5,SPL UNCLASSIFIED SECTION,6.2 Postmarketing Experience,1,0,416
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,22,0,34073-7,DRUG INTERACTIONS SECTION,7 DRUG INTERACTIONS,1,0,2403
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,23,0,43684-0,USE IN SPECIFIC POPULATIONS SECTION,8 USE IN SPECIFIC POPULATIONS,1,7,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,24,1,42228-7,PREGNANCY SECTION,8.1 Pregnancy,0,3,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,25,2,69759-9,RISKS,Risk Summary,1,0,1197
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,26,2,42229-5,SPL UNCLASSIFIED SECTION,Clinical Considerations,0,1,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,27,3,42229-5,SPL UNCLASSIFIED SECTION,Disease-associated Maternal and/or Embryo/Fetal Risk,1,0,330
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,28,2,42229-5,SPL UNCLASSIFIED SECTION,Data,0,2,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,29,3,42229-5,SPL UNCLASSIFIED SECTION,Human Data,1,0,412
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,30,3,42229-5,SPL UNCLASSIFIED SECTION,Animal Data,1,0,389
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,31,1,77290-5,LACTATION SECTION,8.2 Lactation,0,2,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,32,2,69759-9,RISKS,Risk Summary,1,0,567
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,33,2,42229-5,SPL UNCLASSIFIED SECTION,Data,1,0,422
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,34,1,77291-3,FEMALES & MALES OF REPRODUCTIVE POTENTIAL SECTION,8.3 Females and Males of Reproductive Potential,1,0,170
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,35,1,34081-0,PEDIATRIC USE SECTION,8.4 Pediatric Use,0,1,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,36,2,42229-5,SPL UNCLASSIFIED SECTION,Metformin Hydrochloride Tablets,1,0,983
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,37,1,34082-8,GERIATRIC USE SECTION,8.5 Geriatric Use,1,0,579
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,38,1,42229-5,SPL UNCLASSIFIED SECTION,8.6 Renal Impairment,1,0,455
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,39,1,42229-5,SPL UNCLASSIFIED SECTION,8.7 Hepatic Impairment,1,0,236
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,40,0,34088-5,OVERDOSAGE SECTION,10 OVERDOSAGE,1,0,569
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,41,0,34089-3,DESCRIPTION SECTION,11 DESCRIPTION,1,0,883
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,42,0,34090-1,CLINICAL PHARMACOLOGY SECTION,12 CLINICAL PHARMACOLOGY,1,2,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,43,1,43679-0,MECHANISM OF ACTION SECTION,12.1 Mechanism of Action,1,0,490
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,44,1,43682-4,PHARMACOKINETICS SECTION,12.3 Pharmacokinetics,0,6,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,45,2,42229-5,SPL UNCLASSIFIED SECTION,Absorption,1,1,582
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,46,3,42229-5,SPL UNCLASSIFIED SECTION,Effect of Food,1,0,471
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,47,2,42229-5,SPL UNCLASSIFIED SECTION,Distribution,1,0,271
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,48,2,42229-5,SPL UNCLASSIFIED SECTION,Metabolism,1,0,223
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,49,2,42229-5,SPL UNCLASSIFIED SECTION,Elimination,1,0,510
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,50,2,42229-5,SPL UNCLASSIFIED SECTION,Specific Populations,0,6,0
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,51,3,42229-5,SPL UNCLASSIFIED SECTION,Renal Impairment,1,0,285
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,52,3,42229-5,SPL UNCLASSIFIED SECTION,Hepatic Impairment,1,0,174
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,53,3,42229-5,SPL UNCLASSIFIED SECTION,Geriatrics,1,0,1930
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,54,3,42229-5,SPL UNCLASSIFIED SECTION,Pediatrics,1,0,311
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,55,3,42229-5,SPL UNCLASSIFIED SECTION,Gender,1,0,194
metformin,4f70f907-08d5-4c2e-a4be-32c6124faa7b,15,56,3,42229-5,SPL UNCLASSIFIED SECTION,Race,1,0,89
