normalized_title,count,loinc_codes,depths,example_concepts
<NO_TITLE>,36,42229-5,0 | 1 | 2 | 3,acetaminophen | apixaban | atorvastatin | isotretinoin | lisinopril
METFORMIN HYDROCHLORIDE TABLETS,3,42229-5,1 | 2,metformin
HYPERTENSION,3,<NO_CODE>,1,lisinopril
HEART FAILURE,3,<NO_CODE>,1,lisinopril
DATA,2,42229-5,2,metformin
RACE,2,42229-5 | <NO_CODE>,1 | 3,lisinopril | metformin
REDUCTION OF MORTALITY IN ACUTE MYOCARDIAL INFARCTION,2,<NO_CODE>,1,lisinopril
SEVERE CUTANEOUS ADVERSE REACTIONS,2,42229-5,1,amoxicillin | omeprazole
EXERCISE-INDUCED BRONCHOSPASM,2,42229-5,1,albuterol
MAINTENANCE OF HEALING OF EE DUE TO ACID-MEDIATED GERD,2,42229-5,1,omeprazole
PATHOLOGICAL HYPERSECRETORY CONDITIONS,2,42229-5,1,omeprazole
EMBRYO-FETAL TOXICITY,2,42229-5,1,isotretinoin | methotrexate
HEPATOTOXICITY,2,42229-5,1,isotretinoin | methotrexate
HYPERSENSITIVITY REACTIONS,2,42229-5,1,isotretinoin | methotrexate
ADULT DOSAGE,1,42229-5,1,metformin
PEDIATRIC DOSAGE FOR METFORMIN HYDROCHLORIDE TABLETS,1,42229-5,1,metformin
RECOMMENDATIONS FOR USE IN RENAL IMPAIRMENT,1,42229-5,1,metformin
DISCONTINUATION FOR IODINATED CONTRAST IMAGING PROCEDURES,1,42229-5,1,metformin
LACTIC ACIDOSIS,1,42229-5,1,metformin
VITAMIN B 12 DEFICIENCY,1,42229-5,1,metformin
HYPOGLYCEMIA WITH CONCOMITANT USE WITH INSULIN AND INSULIN SECRETAGOGUES,1,42229-5,1,metformin
MACROVASCULAR OUTCOMES,1,42229-5,1,metformin
CLINICAL STUDIES EXPERIENCE,1,42229-5,1,metformin
PEDIATRIC PATIENTS,1,42229-5,3,metformin
CLINICAL CONSIDERATIONS,1,42229-5,2,metformin
DISEASE-ASSOCIATED MATERNAL AND/OR EMBRYO/FETAL RISK,1,42229-5,3,metformin
HUMAN DATA,1,42229-5,3,metformin
ANIMAL DATA,1,42229-5,3,metformin
ABSORPTION,1,42229-5,2,metformin
EFFECT OF FOOD,1,42229-5,3,metformin
DISTRIBUTION,1,42229-5,2,metformin
METABOLISM,1,42229-5,2,metformin
ELIMINATION,1,42229-5,2,metformin
SPECIFIC POPULATIONS,1,42229-5,2,metformin
GERIATRICS,1,42229-5,3,metformin
PEDIATRICS,1,42229-5,3,metformin
GENDER,1,42229-5,3,metformin
IN VIVO ASSESSMENT OF DRUG INTERACTIONS,1,42229-5,3,metformin
ADULT CLINICAL STUDIES,1,42229-5,2,metformin
PEDIATRIC CLINICAL STUDIES,1,42229-5,2,metformin
HOW SUPPLIED,1,42229-5,1,metformin
STORAGE,1,42229-5,1,metformin
WARNING: FETAL TOXICITY,1,42229-5,1,lisinopril
DOSE IN PATIENTS WITH RENAL IMPAIRMENT,1,<NO_CODE>,1,lisinopril
FETAL TOXICITY,1,<NO_CODE>,1,lisinopril
ANGIOEDEMA AND ANAPHYLACTOID REACTIONS,1,<NO_CODE>,1,lisinopril
IMPAIRED RENAL FUNCTION,1,<NO_CODE>,1,lisinopril
HYPOTENSION,1,<NO_CODE>,1,lisinopril
HYPERKALEMIA,1,<NO_CODE>,1,lisinopril
HEPATIC FAILURE,1,<NO_CODE>,1,lisinopril
DIURETICS,1,<NO_CODE>,1,lisinopril
ANTIDIABETICS,1,<NO_CODE>,1,lisinopril
NON-STEROIDAL ANTI-INFLAMMATORY AGENTS INCLUDING SELECTIVE CYCLOOXYGENASE-2 INHIBITORS (COX-2 INHIBITORS),1,<NO_CODE>,1,lisinopril
